index,home_team,away_team,home_goals,away_goals,result,season
0,Sheffield United,Liverpool,1,1,D,2006-2007
252,Manchester City,Reading,0,2,A,2006-2007
251,Fulham,Newcastle United,2,1,H,2006-2007
250,Charlton Athletic,Chelsea,0,1,A,2006-2007
249,Blackburn Rovers,Sheffield United,2,1,H,2006-2007
248,Aston Villa,West Ham United,1,0,H,2006-2007
247,Liverpool,Everton,0,0,D,2006-2007
246,Newcastle United,Aston Villa,3,1,H,2006-2007
245,Manchester United,Watford,4,0,H,2006-2007
244,Bolton Wanderers,Charlton Athletic,1,1,?,2006-2007
243,Chelsea,Blackburn Rovers,3,0,H,2006-2007
242,Reading,Wigan Athletic,3,2,H,2006-2007
241,West Ham United,Liverpool,1,2,A,2006-2007
240,Sheffield United,Fulham,2,0,H,2006-2007
239,Portsmouth,Middlesbrough,0,0,D,2006-2007
238,Watford,Blackburn Rovers,2,1,H,2006-2007
237,Arsenal,Manchester United,2,1,H,2006-2007
236,Wigan Athletic,Everton,0,2,A,2006-2007
235,Manchester City,Blackburn Rovers,0,3,A,2006-2007
234,Reading,Sheffield United,3,1,H,2006-2007
253,Watford,Bolton Wanderers,0,1,A,2006-2007
233,Portsmouth,Charlton Athletic,0,1,A,2006-2007
254,Wigan Athletic,Portsmouth,1,0,H,2006-2007
256,Tottenham Hotspur,Manchester United,0,4,A,2006-2007
279,Fulham,Aston Villa,1,1,D,2006-2007
277,Liverpool,Manchester United,0,1,A,2006-2007
275,Blackburn Rovers,Portsmouth,3,0,H,2006-2007
274,Wigan Athletic,Newcastle United,1,0,H,2006-2007
273,Watford,Everton,0,3,A,2006-2007
272,Middlesbrough,Reading,2,1,?,2006-2007
271,Liverpool,Sheffield United,4,0,H,2006-2007
269,Fulham,Manchester United,1,2,A,2006-2007
268,Everton,Tottenham Hotspur,1,2,A,2006-2007
267,Watford,Wigan Athletic,1,1,D,2006-2007
266,Arsenal,Wigan Athletic,2,1,H,2006-2007
265,Bolton Wanderers,Fulham,2,1,H,2006-2007
264,Portsmouth,Manchester City,2,1,H,2006-2007
262,Sheffield United,Tottenham Hotspur,2,1,H,2006-2007
261,Newcastle United,Liverpool,2,1,H,2006-2007
260,Manchester United,Charlton Athletic,2,0,H,2006-2007
259,Everton,Blackburn Rovers,1,0,H,2006-2007
258,Chelsea,Middlesbrough,3,0,H,2006-2007
257,Reading,Aston Villa,2,0,H,2006-2007
255,Middlesbrough,Arsenal,1,1,D,2006-2007
280,Manchester City,Wigan Athletic,0,1,A,2006-2007
232,Newcastle United,West Ham United,2,2,D,2006-2007
230,Fulham,Tottenham Hotspur,1,1,D,2006-2007
205,Tottenham Hotspur,Liverpool,0,1,A,2006-2007
204,Manchester United,Reading,3,2,H,2006-2007
203,Everton,Newcastle United,3,0,H,2006-2007
202,Chelsea,Fulham,2,2,?,2006-2007
201,Bolton Wanderers,Portsmouth,3,2,H,2006-2007
200,Blackburn Rovers,Middlesbrough,2,1,H,2006-2007
199,Charlton Athletic,Aston Villa,2,1,H,2006-2007
198,Charlton Athletic,Fulham,2,2,D,2006-2007
196,Sheffield United,Manchester City,0,1,A,2006-2007
195,Manchester United,Wigan Athletic,3,1,H,2006-2007
194,Everton,Middlesbrough,0,0,D,2006-2007
193,Bolton Wanderers,Newcastle United,2,1,H,2006-2007
192,Blackburn Rovers,Liverpool,1,0,H,2006-2007
191,West Ham United,Portsmouth,1,2,A,2006-2007
190,Tottenham Hotspur,Aston Villa,2,1,H,2006-2007
189,Chelsea,Reading,2,2,D,2006-2007
188,Wigan Athletic,Chelsea,2,3,A,2006-2007
187,Reading,Everton,0,2,A,2006-2007
186,Portsmouth,Sheffield United,3,1,H,2006-2007
206,West Ham United,Manchester City,0,1,A,2006-2007
231,Middlesbrough,Bolton Wanderers,5,1,H,2006-2007
207,Sheffield United,Arsenal,1,0,H,2006-2007
209,Fulham,Watford,0,0,D,2006-2007
229,Aston Villa,Watford,2,0,H,2006-2007
228,Liverpool,Chelsea,2,0,H,2006-2007
226,Everton,Reading,1,1,D,2006-2007
225,Blackburn Rovers,Arsenal,0,2,A,2006-2007
224,West Ham United,Fulham,3,3,D,2006-2007
223,Sheffield United,Portsmouth,1,1,D,2006-2007
222,Manchester United,Aston Villa,3,1,H,2006-2007
221,Chelsea,Wigan Athletic,4,0,H,2006-2007
220,Charlton Athletic,Middlesbrough,1,3,A,2006-2007
219,Bolton Wanderers,Manchester City,0,0,D,2006-2007
218,Watford,Liverpool,0,3,A,2006-2007
217,Aston Villa,Chelsea,0,0,D,2006-2007
216,Arsenal,Charlton Athletic,4,0,H,2006-2007
215,Newcastle United,Manchester United,2,2,D,2006-2007
214,Wigan Athletic,Blackburn Rovers,0,3,A,2006-2007
213,Reading,West Ham United,6,0,H,2006-2007
212,Portsmouth,Tottenham Hotspur,1,1,D,2006-2007
211,Middlesbrough,Sheffield United,3,1,H,2006-2007
210,Manchester City,Everton,2,1,H,2006-2007
208,Liverpool,Bolton Wanderers,3,0,H,2006-2007
185,Newcastle United,Tottenham Hotspur,3,1,H,2006-2007
281,Newcastle United,Middlesbrough,0,0,D,2006-2007
283,Watford,Charlton Athletic,2,2,D,2006-2007
352,Middlesbrough,Tottenham Hotspur,2,3,A,2006-2007
351,Manchester City,Aston Villa,0,2,A,2006-2007
350,Blackburn Rovers,Charlton Athletic,4,1,H,2006-2007
349,Everton,Manchester United,2,4,A,2006-2007
348,Chelsea,Bolton Wanderers,2,2,D,2006-2007
347,Aston Villa,Portsmouth,0,0,D,2006-2007
346,Newcastle United,Chelsea,0,0,D,2006-2007
345,Manchester United,Middlesbrough,1,1,D,2006-2007
344,West Ham United,Everton,1,0,H,2006-2007
343,Watford,Manchester City,1,1,D,2006-2007
341,Fulham,Blackburn Rovers,1,1,D,2006-2007
340,Charlton Athletic,Sheffield United,1,1,D,2006-2007
339,Bolton Wanderers,Reading,1,3,A,2006-2007
338,Tottenham Hotspur,Arsenal,2,2,D,2006-2007
337,West Ham United,Chelsea,1,4,A,2006-2007
336,Liverpool,Middlesbrough,2,0,H,2006-2007
335,Blackburn Rovers,Watford,3,1,H,2006-2007
334,Manchester United,Sheffield United,2,0,H,2006-2007
333,Arsenal,Manchester City,3,1,H,2006-2007
353,Portsmouth,Liverpool,2,1,H,2006-2007
